word_sing,word_plur,frequency,bin,long_vp,df
schaukelt,schaukeln,2,0,auf dem spielplatz,wiki
flüchtet,flüchten,12,2,vor dem feuer,wiki
riecht,riechen,12,2,den duft von frischem kaffee,wiki
wandert,wandern,36,4,durch den wald,wiki
feiert,feiern,48,4,den geburtstag des großvaters,wiki
verschwindet,verschwinden,68,5,im nebel,wiki
denkt,denken,210,6,an blumen im garten,wiki
spricht,sprechen,533,7,über das abendessen,wiki
arbeitet,arbeiten,640,8,an einem projekt,wiki
liegt,liegen,2220,9,auf dem boden,wiki 