minimal_pair,dataset,paradigm,nsubj1,nsubj2,verb1,verb2,delta_score_42,delta_score_13,delta_score_30,delta_avg,delta_sent_length_char,delta_subwords,total_freq_verbs,total_freq_nouns,nsubj1_log_freq,nsubj2_log_freq,nsubj1_nsubj2_log_freq,verb_log_freq,dep_nsubj1_freq,dep_nsubj2_freq,dep_verb_freq,bigram_freq_gramm,bigram_freq_ungramm,bigram_nsubj2_root,bigram_nsubj1_root
"le gamin casse, les gamins casse",wiki,simple_agrmt,gamin,gamins,casse,casse,-2.0689620971679688,1.4867591857910156,1.6636343002319336,0.36047712961832684,-2,0,4.219507705176107,1.0986122886681096,0.4054651081081644,0.6931471805599453,-0.2876820724517809,2.833213344056216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"les gamins cassent, le gamin cassent",wiki,simple_agrmt,gamins,gamin,cassent,cassent,3.875432014465332,4.521858215332031,4.646302223205566,4.347864151000977,2,0,4.219507705176107,1.0986122886681096,0.6931471805599453,0.4054651081081644,0.2876820724517809,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"le gamin rentre, les gamins rentre",wiki,simple_agrmt,gamin,gamins,rentre,rentre,-1.1142253875732422,2.838789939880371,1.1296586990356445,0.9514077504475912,-2,0,6.705639094860002,1.0986122886681096,0.4054651081081644,0.6931471805599453,-0.2876820724517809,3.7612001156935624,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"les gamins rentrent, le gamin rentrent",wiki,simple_agrmt,gamins,gamin,rentrent,rentrent,4.969196319580078,6.269669532775879,8.484114170074463,6.574326674143474,2,0,6.705639094860002,1.0986122886681096,0.6931471805599453,0.4054651081081644,0.2876820724517809,2.9444389791664403,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"le gamin continue, les gamins continue",wiki,simple_agrmt,gamin,gamins,continue,continue,0.5812444686889648,0.06894969940185547,1.912705421447754,0.8542998631795248,-2,0,9.696709355308183,1.0986122886681096,0.4054651081081644,0.6931471805599453,-0.2876820724517809,5.365976015021851,0.0,0.0,4.8283137373023015,0.0,0.0,0.0,0.0
"les gamins continuent, le gamin continuent",wiki,simple_agrmt,gamins,gamin,continuent,continuent,3.8034820556640625,3.883939743041992,4.056474685668945,3.9146321614583335,2,0,9.696709355308183,1.0986122886681096,0.6931471805599453,0.4054651081081644,0.2876820724517809,4.330733340286331,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"le gamin suit, les gamins suit",wiki,simple_agrmt,gamin,gamins,suit,suit,0.7289676666259766,2.6871585845947266,4.960758209228516,2.7922948201497397,-2,0,10.062327221849518,1.0986122886681096,0.4054651081081644,0.6931471805599453,-0.2876820724517809,5.2832037287379885,0.0,0.0,1.0986122886681098,0.0,0.0,0.0,0.0
"les gamins suivent, le gamin suivent",wiki,simple_agrmt,gamins,gamin,suivent,suivent,4.532417297363281,6.523011684417725,4.947989463806152,5.33447281519572,2,0,10.062327221849518,1.0986122886681096,0.6931471805599453,0.4054651081081644,0.2876820724517809,4.77912349311153,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"le gamin rend, les gamins rend",wiki,simple_agrmt,gamin,gamins,rend,rend,-1.6066694259643555,-0.7308406829833984,-1.6937294006347656,-1.343746503194173,-2,0,10.216837371736487,1.0986122886681096,0.4054651081081644,0.6931471805599453,-0.2876820724517809,5.652489180268651,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"les gamins rendent, le gamin rendent",wiki,simple_agrmt,gamins,gamin,rendent,rendent,4.24870491027832,5.67227840423584,5.568890571594238,5.163291295369466,2,0,10.216837371736487,1.0986122886681096,0.6931471805599453,0.4054651081081644,0.2876820724517809,4.564348191467836,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"le gamin va, les gamins va",wiki,simple_agrmt,gamin,gamins,va,va,3.207277297973633,1.3562898635864258,4.427365303039551,2.9969774881998696,-2,0,11.125791313546788,1.0986122886681096,0.4054651081081644,0.6931471805599453,-0.2876820724517809,5.961005339623274,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"les gamins vont, le gamin vont",wiki,simple_agrmt,gamins,gamin,vont,vont,5.530344009399414,5.074115753173828,5.612390518188477,5.405616760253906,2,0,11.125791313546788,1.0986122886681096,0.6931471805599453,0.4054651081081644,0.2876820724517809,5.1647859739235145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"le gamin permet, les gamins permet",wiki,simple_agrmt,gamin,gamins,permet,permet,2.506193161010742,3.0310606956481934,1.6321687698364258,2.3898075421651206,-2,0,12.231896325539632,1.0986122886681096,0.4054651081081644,0.6931471805599453,-0.2876820724517809,6.694562058521095,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"les gamins permettent, le gamin permettent",wiki,simple_agrmt,gamins,gamin,permettent,permettent,4.1822590827941895,6.092667102813721,6.875279426574707,5.716735204060872,2,0,12.231896325539632,1.0986122886681096,0.6931471805599453,0.4054651081081644,0.2876820724517809,5.537334267018537,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"la vilaine casse, les vilaines casse",wiki,simple_agrmt,vilaine,vilaines,casse,casse,-1.5595102310180664,2.430739402770996,-0.5544300079345703,0.10559972127278645,-2,0,4.219507705176107,3.4657359027997265,2.772588722239781,0.6931471805599453,2.0794415416798357,2.833213344056216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"les vilaines cassent, la vilaine cassent",wiki,simple_agrmt,vilaines,vilaine,cassent,cassent,5.826055526733398,2.1293482780456543,2.4930009841918945,3.482801596323649,2,0,4.219507705176107,3.4657359027997265,0.6931471805599453,2.772588722239781,-2.0794415416798357,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"la vilaine rentre, les vilaines rentre",wiki,simple_agrmt,vilaine,vilaines,rentre,rentre,1.6056451797485352,0.6730737686157227,1.8348979949951172,1.3712056477864583,-2,0,6.705639094860002,3.4657359027997265,2.772588722239781,0.6931471805599453,2.0794415416798357,3.7612001156935624,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"les vilaines rentrent, la vilaine rentrent",wiki,simple_agrmt,vilaines,vilaine,rentrent,rentrent,2.4358272552490234,2.9339094161987305,7.287394046783447,4.219043572743733,2,0,6.705639094860002,3.4657359027997265,0.6931471805599453,2.772588722239781,-2.0794415416798357,2.9444389791664403,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"la vilaine continue, les vilaines continue",wiki,simple_agrmt,vilaine,vilaines,continue,continue,2.19984769821167,3.6552743911743164,2.92733097076416,2.9274843533833823,-2,0,9.696709355308183,3.4657359027997265,2.772588722239781,0.6931471805599453,2.0794415416798357,5.365976015021851,0.0,0.0,4.8283137373023015,0.0,0.0,0.0,0.0
"les vilaines continuent, la vilaine continuent",wiki,simple_agrmt,vilaines,vilaine,continuent,continuent,4.6400909423828125,4.439902305603027,5.662356376647949,4.914116541544597,2,0,9.696709355308183,3.4657359027997265,0.6931471805599453,2.772588722239781,-2.0794415416798357,4.330733340286331,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"la vilaine suit, les vilaines suit",wiki,simple_agrmt,vilaine,vilaines,suit,suit,3.2285614013671875,3.177783966064453,3.8023433685302734,3.402896245320638,-2,0,10.062327221849518,3.4657359027997265,2.772588722239781,0.6931471805599453,2.0794415416798357,5.2832037287379885,0.0,0.0,1.0986122886681098,0.0,0.0,0.0,0.0
"les vilaines suivent, la vilaine suivent",wiki,simple_agrmt,vilaines,vilaine,suivent,suivent,5.83466911315918,5.149472236633301,7.387392997741699,6.1238447825113935,2,0,10.062327221849518,3.4657359027997265,0.6931471805599453,2.772588722239781,-2.0794415416798357,4.77912349311153,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"la vilaine rend, les vilaines rend",wiki,simple_agrmt,vilaine,vilaines,rend,rend,3.085066795349121,1.1574811935424805,0.5925235748291016,1.6116905212402344,-2,0,10.216837371736487,3.4657359027997265,2.772588722239781,0.6931471805599453,2.0794415416798357,5.652489180268651,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"les vilaines rendent, la vilaine rendent",wiki,simple_agrmt,vilaines,vilaine,rendent,rendent,3.291947364807129,3.662816047668457,5.072657585144043,4.009140332539876,2,0,10.216837371736487,3.4657359027997265,0.6931471805599453,2.772588722239781,-2.0794415416798357,4.564348191467836,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"la vilaine va, les vilaines va",wiki,simple_agrmt,vilaine,vilaines,va,va,2.186800003051758,2.4788360595703125,3.3168444633483887,2.660826841990153,-2,0,11.125791313546788,3.4657359027997265,2.772588722239781,0.6931471805599453,2.0794415416798357,5.961005339623274,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"les vilaines vont, la vilaine vont",wiki,simple_agrmt,vilaines,vilaine,vont,vont,5.021642684936523,3.7295150756835938,6.510473728179932,5.087210496266683,2,0,11.125791313546788,3.4657359027997265,0.6931471805599453,2.772588722239781,-2.0794415416798357,5.1647859739235145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"la vilaine permet, les vilaines permet",wiki,simple_agrmt,vilaine,vilaines,permet,permet,3.602524757385254,5.4592180252075195,3.205352783203125,4.0890318552653,-2,0,12.231896325539632,3.4657359027997265,2.772588722239781,0.6931471805599453,2.0794415416798357,6.694562058521095,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"les vilaines permettent, la vilaine permettent",wiki,simple_agrmt,vilaines,vilaine,permettent,permettent,2.9129247665405273,2.3986597061157227,3.794508934020996,3.0353644688924155,2,0,12.231896325539632,3.4657359027997265,0.6931471805599453,2.772588722239781,-2.0794415416798357,5.537334267018537,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"le cuisinier casse, les cuisiniers casse",wiki,simple_agrmt,cuisinier,cuisiniers,casse,casse,0.3993797302246094,3.5370311737060547,-0.4139823913574219,1.174142837524414,-2,0,4.219507705176107,2.890371757896165,2.1972245773362196,0.6931471805599453,1.5040773967762742,2.833213344056216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"les cuisiniers cassent, le cuisinier cassent",wiki,simple_agrmt,cuisiniers,cuisinier,cassent,cassent,2.704648971557617,0.979557991027832,3.3492488861083984,2.344485282897949,2,0,4.219507705176107,2.890371757896165,0.6931471805599453,2.1972245773362196,-1.5040773967762742,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"le cuisinier rentre, les cuisiniers rentre",wiki,simple_agrmt,cuisinier,cuisiniers,rentre,rentre,1.2789278030395508,1.528055191040039,3.201420783996582,2.002801259358724,-2,0,6.705639094860002,2.890371757896165,2.1972245773362196,0.6931471805599453,1.5040773967762742,3.7612001156935624,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"les cuisiniers rentrent, le cuisinier rentrent",wiki,simple_agrmt,cuisiniers,cuisinier,rentrent,rentrent,5.867915153503418,5.632379531860352,6.855832099914551,6.1187089284261065,2,0,6.705639094860002,2.890371757896165,0.6931471805599453,2.1972245773362196,-1.5040773967762742,2.9444389791664403,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"le cuisinier continue, les cuisiniers continue",wiki,simple_agrmt,cuisinier,cuisiniers,continue,continue,0.9173812866210938,2.3481483459472656,1.786433219909668,1.6839876174926758,-2,0,9.696709355308183,2.890371757896165,2.1972245773362196,0.6931471805599453,1.5040773967762742,5.365976015021851,0.0,0.0,4.8283137373023015,0.0,0.0,0.0,0.0
"les cuisiniers continuent, le cuisinier continuent",wiki,simple_agrmt,cuisiniers,cuisinier,continuent,continuent,5.194759368896484,2.5959300994873047,5.465395927429199,4.418695131937663,2,0,9.696709355308183,2.890371757896165,0.6931471805599453,2.1972245773362196,-1.5040773967762742,4.330733340286331,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"le cuisinier suit, les cuisiniers suit",wiki,simple_agrmt,cuisinier,cuisiniers,suit,suit,2.6922035217285156,3.2233152389526367,4.999383926391602,3.638300895690918,-2,0,10.062327221849518,2.890371757896165,2.1972245773362196,0.6931471805599453,1.5040773967762742,5.2832037287379885,0.0,0.0,1.0986122886681098,0.0,0.0,0.0,0.0
"les cuisiniers suivent, le cuisinier suivent",wiki,simple_agrmt,cuisiniers,cuisinier,suivent,suivent,6.471624374389648,6.146567344665527,5.4945478439331055,6.037579854329427,2,0,10.062327221849518,2.890371757896165,0.6931471805599453,2.1972245773362196,-1.5040773967762742,4.77912349311153,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"le cuisinier rend, les cuisiniers rend",wiki,simple_agrmt,cuisinier,cuisiniers,rend,rend,-1.9253911972045898,0.019021987915039062,-0.5290384292602539,-0.8118025461832682,-2,0,10.216837371736487,2.890371757896165,2.1972245773362196,0.6931471805599453,1.5040773967762742,5.652489180268651,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"les cuisiniers rendent, le cuisinier rendent",wiki,simple_agrmt,cuisiniers,cuisinier,rendent,rendent,5.795690536499023,2.708250045776367,4.021272659301758,4.175071080525716,2,0,10.216837371736487,2.890371757896165,0.6931471805599453,2.1972245773362196,-1.5040773967762742,4.564348191467836,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"le cuisinier va, les cuisiniers va",wiki,simple_agrmt,cuisinier,cuisiniers,va,va,4.028265953063965,3.8226232528686523,3.9631829261779785,3.9380240440368652,-2,0,11.125791313546788,2.890371757896165,2.1972245773362196,0.6931471805599453,1.5040773967762742,5.961005339623274,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"les cuisiniers vont, le cuisinier vont",wiki,simple_agrmt,cuisiniers,cuisinier,vont,vont,5.7794952392578125,3.6525182723999023,5.2583699226379395,4.896794478098552,2,0,11.125791313546788,2.890371757896165,0.6931471805599453,2.1972245773362196,-1.5040773967762742,5.1647859739235145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"le cuisinier permet, les cuisiniers permet",wiki,simple_agrmt,cuisinier,cuisiniers,permet,permet,4.189106464385986,4.725587844848633,3.830705165863037,4.248466491699219,-2,0,12.231896325539632,2.890371757896165,2.1972245773362196,0.6931471805599453,1.5040773967762742,6.694562058521095,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"les cuisiniers permettent, le cuisinier permettent",wiki,simple_agrmt,cuisiniers,cuisinier,permettent,permettent,3.5751028060913086,3.7098703384399414,4.531681060791016,3.938884735107422,2,0,12.231896325539632,2.890371757896165,0.6931471805599453,2.1972245773362196,-1.5040773967762742,5.537334267018537,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"l'avocat casse, les avocats casse",wiki,simple_agrmt,avocat,avocats,casse,casse,0.2769594192504883,0.014048576354980469,0.49533557891845703,0.2621145248413086,-3,1,4.219507705176107,6.396929655216146,3.6888794541139363,2.70805020110221,0.9808292530117262,2.833213344056216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"les avocats cassent, l'avocat cassent",wiki,simple_agrmt,avocats,avocat,cassent,cassent,2.7661070823669434,4.101105213165283,5.5854387283325195,4.150883674621582,3,-1,4.219507705176107,6.396929655216146,2.70805020110221,3.6888794541139363,-0.9808292530117262,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"l'avocat rentre, les avocats rentre",wiki,simple_agrmt,avocat,avocats,rentre,rentre,-0.3772745132446289,0.13593387603759766,1.1154870986938477,0.2913821538289388,-3,1,6.705639094860002,6.396929655216146,3.6888794541139363,2.70805020110221,0.9808292530117262,3.7612001156935624,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"les avocats rentrent, l'avocat rentrent",wiki,simple_agrmt,avocats,avocat,rentrent,rentrent,4.017180442810059,8.00858211517334,8.017253875732422,6.681005477905273,3,-1,6.705639094860002,6.396929655216146,2.70805020110221,3.6888794541139363,-0.9808292530117262,2.9444389791664403,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"l'avocat continue, les avocats continue",wiki,simple_agrmt,avocat,avocats,continue,continue,1.403829574584961,1.3574886322021484,2.208815574645996,1.656711260477702,-3,1,9.696709355308183,6.396929655216146,3.6888794541139363,2.70805020110221,0.9808292530117262,5.365976015021851,0.0,0.0,4.8283137373023015,0.0,0.0,0.0,0.0
"les avocats continuent, l'avocat continuent",wiki,simple_agrmt,avocats,avocat,continuent,continuent,1.4741935729980469,2.000277042388916,4.68565559387207,2.720042069753011,3,-1,9.696709355308183,6.396929655216146,2.70805020110221,3.6888794541139363,-0.9808292530117262,4.330733340286331,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"l'avocat suit, les avocats suit",wiki,simple_agrmt,avocat,avocats,suit,suit,5.315885543823242,3.2662744522094727,2.314642906188965,3.632267634073893,-3,1,10.062327221849518,6.396929655216146,3.6888794541139363,2.70805020110221,0.9808292530117262,5.2832037287379885,0.0,0.0,1.0986122886681098,0.0,0.0,0.0,0.0
"les avocats suivent, l'avocat suivent",wiki,simple_agrmt,avocats,avocat,suivent,suivent,1.3077335357666016,4.512978553771973,4.112157821655273,3.3109566370646157,3,-1,10.062327221849518,6.396929655216146,2.70805020110221,3.6888794541139363,-0.9808292530117262,4.77912349311153,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"l'avocat rend, les avocats rend",wiki,simple_agrmt,avocat,avocats,rend,rend,-0.8088855743408203,-0.6815099716186523,-0.9315004348754883,-0.8072986602783203,-3,1,10.216837371736487,6.396929655216146,3.6888794541139363,2.70805020110221,0.9808292530117262,5.652489180268651,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"les avocats rendent, l'avocat rendent",wiki,simple_agrmt,avocats,avocat,rendent,rendent,2.613945960998535,2.759671211242676,3.272799491882324,2.8821388880411782,3,-1,10.216837371736487,6.396929655216146,2.70805020110221,3.6888794541139363,-0.9808292530117262,4.564348191467836,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"l'avocat va, les avocats va",wiki,simple_agrmt,avocat,avocats,va,va,4.814875602722168,3.2070178985595703,2.8225555419921875,3.614816347757975,-3,1,11.125791313546788,6.396929655216146,3.6888794541139363,2.70805020110221,0.9808292530117262,5.961005339623274,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"les avocats vont, l'avocat vont",wiki,simple_agrmt,avocats,avocat,vont,vont,2.248037338256836,3.197938919067383,5.048405170440674,3.4981271425882974,3,-1,11.125791313546788,6.396929655216146,2.70805020110221,3.6888794541139363,-0.9808292530117262,5.1647859739235145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"l'avocat permet, les avocats permet",wiki,simple_agrmt,avocat,avocats,permet,permet,4.077150821685791,4.114741325378418,1.7880892753601074,3.326660474141439,-3,1,12.231896325539632,6.396929655216146,3.6888794541139363,2.70805020110221,0.9808292530117262,6.694562058521095,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"les avocats permettent, l'avocat permettent",wiki,simple_agrmt,avocats,avocat,permettent,permettent,0.7718067169189453,3.3747925758361816,3.3669328689575195,2.5045107205708823,3,-1,12.231896325539632,6.396929655216146,2.70805020110221,3.6888794541139363,-0.9808292530117262,5.537334267018537,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"le pilote casse, les pilotes casse",wiki,simple_agrmt,pilote,pilotes,casse,casse,0.6461753845214844,0.24221229553222656,-0.5139093399047852,0.12482611338297527,-2,0,4.219507705176107,9.124782483614535,4.624972813284271,4.499809670330265,0.12516314295400566,2.833213344056216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"les pilotes cassent, le pilote cassent",wiki,simple_agrmt,pilotes,pilote,cassent,cassent,3.4603261947631836,5.669771194458008,3.9186434745788574,4.34958028793335,2,0,4.219507705176107,9.124782483614535,4.499809670330265,4.624972813284271,-0.12516314295400566,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"le pilote rentre, les pilotes rentre",wiki,simple_agrmt,pilote,pilotes,rentre,rentre,1.8634204864501953,1.448542594909668,-0.15343284606933594,1.052843411763509,-2,0,6.705639094860002,9.124782483614535,4.624972813284271,4.499809670330265,0.12516314295400566,3.7612001156935624,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"les pilotes rentrent, le pilote rentrent",wiki,simple_agrmt,pilotes,pilote,rentrent,rentrent,3.4409427642822266,6.010684967041016,7.25792932510376,5.569852352142334,2,0,6.705639094860002,9.124782483614535,4.499809670330265,4.624972813284271,-0.12516314295400566,2.9444389791664403,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"le pilote continue, les pilotes continue",wiki,simple_agrmt,pilote,pilotes,continue,continue,3.9378232955932617,1.2838134765625,2.3837890625,2.535141944885254,-2,0,9.696709355308183,9.124782483614535,4.624972813284271,4.499809670330265,0.12516314295400566,5.365976015021851,0.0,0.0,4.8283137373023015,0.0,0.4054651081081644,0.0,0.0
"les pilotes continuent, le pilote continuent",wiki,simple_agrmt,pilotes,pilote,continuent,continuent,5.461795806884766,5.7473626136779785,3.839676856994629,5.016278425852458,2,0,9.696709355308183,9.124782483614535,4.499809670330265,4.624972813284271,-0.12516314295400566,4.330733340286331,0.0,0.0,0.0,0.4054651081081644,0.0,0.0,0.0
"le pilote suit, les pilotes suit",wiki,simple_agrmt,pilote,pilotes,suit,suit,0.7788171768188477,1.194901466369629,1.381235122680664,1.1183179219563801,-2,0,10.062327221849518,9.124782483614535,4.624972813284271,4.499809670330265,0.12516314295400566,5.2832037287379885,0.0,0.0,1.0986122886681098,0.0,0.0,0.0,0.0
